Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology
0.0006,1100.0,30,30,0.0726489114900472,0.0254,0,41.04025975610803,WON-4610
0.0006,1100.0,35,25,0.07822671821227395,0.0254,0,37.17853556213352,WON-4610
0.0006,1100.0,35,30,0.0726489114900472,0.0254,0,35.17736550523546,WON-4610
0.0004,2284.6078357263254,30,25,0.06401196278645457,0.0254,0,77.72879405997136,WON-4610
0.0004,2284.6078357263254,30,30,0.0578300991336613,0.0254,0,72.35469431089858,WON-4610
0.0004,2284.6078357263254,35,25,0.06401196278645457,0.0254,0,66.6246806228326,WON-4610
0.0004,2284.6078357263254,35,30,0.0578300991336613,0.0254,0,62.01830940934165,WON-4610
0.0004,2284.6078357263254,45,25,0.06401196278645457,0.0254,0,51.819196039980916,WON-4610
0.0004,2284.6078357263254,45,30,0.0578300991336613,0.0254,0,48.23646287393239,WON-4610
0.0004,1692.3039178631627,25,25,0.06401196278645457,0.0254,0,69.09233558326594,WON-4610
0.0004,1692.3039178631627,25,30,0.0578300991336613,0.0254,0,64.31535289864587,WON-4610
0.0004,1692.3039178631627,30,25,0.06401196278645457,0.0254,0,57.57694631938827,WON-4610
0.0004,1692.3039178631627,30,30,0.0578300991336613,0.0254,0,53.59612741553822,WON-4610
0.0004,1692.3039178631627,35,25,0.06401196278645457,0.0254,0,49.35166827376138,WON-4610
0.0004,1692.3039178631627,35,30,0.0578300991336613,0.0254,0,45.93953778474705,WON-4610
0.0004,1100.0,25,25,0.06401196278645457,0.0254,0,44.91011829456623,WON-4610
0.0004,1100.0,25,30,0.0578300991336613,0.0254,0,41.805072624213444,WON-4610
0.0004,1100.0,30,25,0.06401196278645457,0.0254,0,37.42509857880519,WON-4610
0.0004,1100.0,30,30,0.0578300991336613,0.0254,0,34.83756052017787,WON-4610
0.0004,1100.0,35,25,0.06401196278645457,0.0254,0,32.07865592469017,WON-4610
0.0004,1100.0,35,30,0.0578300991336613,0.0254,0,29.86076616015246,WON-4610
0.001,2284.6078357263254,30,25,0.11016807219002084,0.0273,0,119.50556883086519,WON-4610
0.001,2284.6078357263254,30,30,0.1060792482526339,0.0273,0,115.95101814355182,WON-4610
0.001,2284.6078357263254,35,25,0.11016807219002084,0.0273,0,102.43334471217018,WON-4610
0.001,2284.6078357263254,35,30,0.1060792482526339,0.0273,0,99.38658698018729,WON-4610
0.001,2284.6078357263254,45,25,0.11016807219002084,0.0273,0,79.6703792205768,WON-4610
0.001,2284.6078357263254,45,30,0.1060792482526339,0.0273,0,77.3006787623679,WON-4610
0.001,1692.3039178631627,25,25,0.11016807219002084,0.0273,0,106.22728636907229,WON-4610
0.001,1692.3039178631627,25,30,0.1060792482526339,0.0273,0,103.06768236510308,WON-4610
0.001,1692.3039178631627,30,25,0.11016807219002084,0.0273,0,88.52273864089358,WON-4610
0.001,1692.3039178631627,30,30,0.1060792482526339,0.0273,0,85.88973530425255,WON-4610
0.001,1692.3039178631627,35,25,0.11016807219002084,0.0273,0,75.87663312076593,WON-4610
0.001,1692.3039178631627,35,30,0.1060792482526339,0.0273,0,73.61977311793078,WON-4610
0.001,1100.0,25,25,0.11016807219002084,0.0273,0,69.04789014110635,WON-4610
