Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology,LCOE_Adjusted ($/MWh)
0.1,2284.6078357263254,35,25.0,0.1046596685805198,0.029209999999999996,0,101.01757338539915,Wind Onshore,305.8396938051418
0.1,2284.6078357263254,35,30.0,0.1007752858400022,0.029209999999999996,0,97.97081565341625,Wind Onshore,296.9654025591952
0.1,2284.6078357263254,45,25.0,0.1046596685805198,0.029209999999999996,0,78.56922374419933,Wind Onshore,305.8396938051418
0.1,2284.6078357263254,45,30.0,0.1007752858400022,0.029209999999999996,0,76.19952328599042,Wind Onshore,296.9654025591952
0.1,1692.3039178631627,25,25.0,0.1046596685805198,0.029209999999999996,0,104.75907749056088,Wind Onshore,226.54816462185678
0.1,1692.3039178631627,25,30.0,0.1007752858400022,0.029209999999999996,0,101.59947348659166,Wind Onshore,219.9746084915988
0.1,1692.3039178631627,30,25.0,0.1046596685805198,0.029209999999999996,0,87.29923124213407,Wind Onshore,226.54816462185678
0.1,1692.3039178631627,30,30.0,0.1007752858400022,0.029209999999999996,0,84.66622790549305,Wind Onshore,219.9746084915988
0.1,1692.3039178631627,35,25.0,0.1046596685805198,0.029209999999999996,0,74.82791249325778,Wind Onshore,226.54816462185678
0.1,1692.3039178631627,35,30.0,0.1007752858400022,0.029209999999999996,0,72.57105249042262,Wind Onshore,219.9746084915988
0.1,1100.0,25,25.0,0.1046596685805198,0.029209999999999996,0,68.09355224156297,Wind Onshore,147.25663543857178
0.1,1100.0,25,30.0,0.1007752858400022,0.029209999999999996,0,66.0398050584006,Wind Onshore,142.98381442400242
0.1,1100.0,30,25.0,0.1046596685805198,0.029209999999999996,0,56.744626867969146,Wind Onshore,147.25663543857178
0.1,1100.0,30,30.0,0.1007752858400022,0.029209999999999996,0,55.0331708820005,Wind Onshore,142.98381442400242
0.1,1100.0,35,25.0,0.1046596685805198,0.029209999999999996,0,48.638251601116416,Wind Onshore,147.25663543857178
0.1,1100.0,35,30.0,0.1007752858400022,0.029209999999999996,0,47.171289327429,Wind Onshore,142.98381442400242
0.06,2284.6078357263254,30,25.0,0.07431538230166025,0.029209999999999996,0,90.08615388826674,Wind Onshore,236.51489960293645
0.06,2284.6078357263254,30,30.0,0.06901646591554483,0.029209999999999996,0,85.23718092640743,Wind Onshore,224.40895370635855
0.06,2284.6078357263254,35,25.0,0.07431538230166025,0.029209999999999996,0,77.21670333280007,Wind Onshore,236.51489960293645
0.06,2284.6078357263254,35,30.0,0.06901646591554483,0.029209999999999996,0,73.06044079406352,Wind Onshore,224.40895370635855
0.06,2284.6078357263254,45,25.0,0.07431538230166025,0.029209999999999996,0,60.057435925511164,Wind Onshore,236.51489960293645
0.06,2284.6078357263254,45,30.0,0.06901646591554483,0.029209999999999996,0,56.82478728427163,Wind Onshore,224.40895370635855
0.06,1692.3039178631627,25,25.0,0.07431538230166025,0.029209999999999996,0,80.07666722645351,Wind Onshore,175.19641006738138
0.06,1692.3039178631627,25,30.0,0.06901646591554483,0.029209999999999996,0,75.76646440950928,Wind Onshore,166.22903310672893
0.06,1692.3039178631627,30,25.0,0.07431538230166025,0.029209999999999996,0,66.73055602204458,Wind Onshore,175.19641006738138
0.06,1692.3039178631627,30,30.0,0.06901646591554483,0.029209999999999996,0,63.13872034125773,Wind Onshore,166.22903310672893
0.06,1692.3039178631627,35,25.0,0.07431538230166025,0.029209999999999996,0,57.19761944746679,Wind Onshore,175.19641006738138
0.06,1692.3039178631627,35,30.0,0.06901646591554483,0.029209999999999996,0,54.11890314964949,Wind Onshore,166.22903310672893
0.06,1100.0,25,25.0,0.07431538230166025,0.029209999999999996,0,52.04994978698692,Wind Onshore,113.87792053182628
0.06,1100.0,25,30.0,0.06901646591554483,0.029209999999999996,0,49.24831170732964,Wind Onshore,108.04911250709932
0.06,1100.0,30,25.0,0.07431538230166025,0.029209999999999996,0,43.37495815582243,Wind Onshore,113.87792053182628
0.06,1100.0,30,30.0,0.06901646591554483,0.029209999999999996,0,41.04025975610803,Wind Onshore,108.04911250709932
0.06,1100.0,35,25.0,0.07431538230166025,0.029209999999999996,0,37.17853556213352,Wind Onshore,113.87792053182628
0.06,1100.0,35,30.0,0.06901646591554483,0.029209999999999996,0,35.17736550523546,Wind Onshore,108.04911250709932
0.04,2284.6078357263254,30,25.0,0.06081136464713184,0.029209999999999996,0,77.72879405997136,Wind Onshore,205.6635150556142
0.04,2284.6078357263254,30,30.0,0.05493859417697823,0.029209999999999996,0,72.35469431089858,Wind Onshore,192.2465376220791
0.04,2284.6078357263254,35,25.0,0.06081136464713184,0.029209999999999996,0,66.6246806228326,Wind Onshore,205.6635150556142
0.04,2284.6078357263254,35,30.0,0.05493859417697823,0.029209999999999996,0,62.01830940934165,Wind Onshore,192.2465376220791
0.04,2284.6078357263254,45,25.0,0.06081136464713184,0.029209999999999996,0,51.819196039980916,Wind Onshore,205.6635150556142
0.04,2284.6078357263254,45,30.0,0.05493859417697823,0.029209999999999996,0,48.23646287393239,Wind Onshore,192.2465376220791
0.04,1692.3039178631627,25,25.0,0.06081136464713184,0.029209999999999996,0,69.09233558326594,Wind Onshore,152.34350808372963
0.04,1692.3039178631627,25,30.0,0.05493859417697823,0.029209999999999996,0,64.31535289864587,Wind Onshore,142.4049956083776
0.04,1692.3039178631627,30,25.0,0.06081136464713184,0.029209999999999996,0,57.57694631938827,Wind Onshore,152.34350808372963
0.04,1692.3039178631627,30,30.0,0.05493859417697823,0.029209999999999996,0,53.59612741553822,Wind Onshore,142.4049956083776
0.04,1692.3039178631627,35,25.0,0.06081136464713184,0.029209999999999996,0,49.35166827376138,Wind Onshore,152.34350808372963
0.04,1692.3039178631627,35,30.0,0.05493859417697823,0.029209999999999996,0,45.93953778474705,Wind Onshore,142.4049956083776
0.04,1100.0,25,25.0,0.06081136464713184,0.029209999999999996,0,44.91011829456623,Wind Onshore,99.02350111184501
0.04,1100.0,25,30.0,0.05493859417697823,0.029209999999999996,0,41.805072624213444,Wind Onshore,92.56345359467605
0.04,1100.0,30,25.0,0.06081136464713184,0.029209999999999996,0,37.42509857880519,Wind Onshore,99.02350111184501
0.04,1100.0,30,30.0,0.05493859417697823,0.029209999999999996,0,34.83756052017787,Wind Onshore,92.56345359467605
0.04,1100.0,35,25.0,0.06081136464713184,0.029209999999999996,0,32.07865592469017,Wind Onshore,99.02350111184501
0.04,1100.0,35,30.0,0.05493859417697823,0.029209999999999996,0,29.86076616015246,Wind Onshore,92.56345359467605
0.1,2284.6078357263254,30,25.0,0.1046596685805198,0.031395,0,119.50556883086519,Wind Onshore,310.83156192620385
0.1,2284.6078357263254,30,30.0,0.1007752858400022,0.031395,0,115.95101814355182,Wind Onshore,301.95727068025724
0.1,2284.6078357263254,35,25.0,0.1046596685805198,0.031395,0,102.43334471217018,Wind Onshore,310.83156192620385
0.1,2284.6078357263254,35,30.0,0.1007752858400022,0.031395,0,99.38658698018729,Wind Onshore,301.95727068025724
0.1,2284.6078357263254,45,25.0,0.1046596685805198,0.031395,0,79.6703792205768,Wind Onshore,310.83156192620385
0.1,2284.6078357263254,45,30.0,0.1007752858400022,0.031395,0,77.3006787623679,Wind Onshore,301.95727068025724
0.1,1692.3039178631627,25,25.0,0.1046596685805198,0.031395,0,106.22728636907229,Wind Onshore,230.24584868238782
0.1,1692.3039178631627,25,30.0,0.1007752858400022,0.031395,0,103.06768236510308,Wind Onshore,223.67229255212982
0.1,1692.3039178631627,30,25.0,0.1046596685805198,0.031395,0,88.52273864089358,Wind Onshore,230.24584868238782
0.1,1692.3039178631627,30,30.0,0.1007752858400022,0.031395,0,85.88973530425255,Wind Onshore,223.67229255212982
0.1,1692.3039178631627,35,25.0,0.1046596685805198,0.031395,0,75.87663312076593,Wind Onshore,230.24584868238782
0.1,1692.3039178631627,35,30.0,0.1007752858400022,0.031395,0,73.61977311793078,Wind Onshore,223.67229255212982
0.1,1100.0,25,25.0,0.1046596685805198,0.031395,0,69.04789014110635,Wind Onshore,149.66013543857179
0.1,1100.0,25,30.0,0.1007752858400022,0.031395,0,66.99414295794396,Wind Onshore,145.38731442400243
0.1,1100.0,30,25.0,0.1046596685805198,0.031395,0,57.539908450921956,Wind Onshore,149.66013543857179
0.1,1100.0,30,30.0,0.1007752858400022,0.031395,0,55.8284524649533,Wind Onshore,145.38731442400243
0.1,1100.0,35,25.0,0.1046596685805198,0.031395,0,49.31992152936168,Wind Onshore,149.66013543857179
0.1,1100.0,35,30.0,0.1007752858400022,0.031395,0,47.852959255674264,Wind Onshore,145.38731442400243
0.06,2284.6078357263254,30,25.0,0.07431538230166025,0.031395,0,91.73788710283296,Wind Onshore,241.5067677239985
0.06,2284.6078357263254,30,30.0,0.06901646591554483,0.031395,0,86.88891414097367,Wind Onshore,229.4008218274206
0.06,2284.6078357263254,35,25.0,0.07431538230166025,0.031395,0,78.63247465957112,Wind Onshore,241.5067677239985
0.06,2284.6078357263254,35,30.0,0.06901646591554483,0.031395,0,74.47621212083457,Wind Onshore,229.4008218274206
